ZIP,confirmed_cases,population,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Acton,22.16176470588235,6522.0,2.0,86.02522058823529,37.2479411764706,90.09095588235293,-39.3014705882353,-13.419117647058824,-17.316176470588236,-42.963235294117645,-39.48529411764706,16.066176470588236
Agoura Hills,54.34013605442177,20324.0,2.0,82.9695918367347,36.46795918367348,86.83537414965986,-39.65986394557823,-13.965986394557824,-18.836734693877553,-43.5578231292517,-40.136054421768705,16.54421768707483
Alhambra,359.1363636363636,85961.0,2.0,81.8285064935065,36.49688311688313,85.38246753246754,-39.435064935064936,-13.448051948051948,-19.253246753246753,-43.36363636363637,-39.81818181818182,16.538961038961038
Altadena,204.88741721854305,42680.0,2.0,82.15384105960264,36.36635761589405,85.9164238410596,-39.6953642384106,-13.834437086092715,-19.09271523178808,-43.556291390728475,-40.01324503311258,16.56953642384106
Arcadia,138.21428571428572,52951.0,2.0,81.8285064935065,36.49688311688313,85.38246753246754,-39.435064935064936,-13.448051948051948,-19.253246753246753,-43.36363636363637,-39.81818181818182,16.538961038961038
Arleta,425.6758620689655,31068.0,2.0,83.47786206896552,36.55724137931036,87.39048275862068,-39.62068965517241,-13.889655172413793,-18.641379310344828,-43.47586206896552,-40.02758620689655,16.46206896551724
Avalon,4.719298245614035,3181.0,2.0,106.60982456140349,46.13877192982456,113.1343859649123,-31.12280701754386,-11.210526315789474,-5.5964912280701755,-39.31578947368421,-36.6140350877193,13.192982456140351
Azusa,414.19444444444446,44384.0,2.0,83.73812500000001,36.61361111111113,87.67513888888887,-39.59722222222222,-13.847222222222221,-18.53472222222222,-43.43055555555556,-39.96527777777778,16.416666666666668
Baldwin Hills,207.6078431372549,30123.0,1.0,81.88026143790849,36.40679738562093,85.52849673202614,-39.568627450980394,-13.61437908496732,-19.11764705882353,-43.45751633986928,-39.93464052287582,16.575163398692812
Baldwin Park,818.0575539568346,75753.0,2.0,85.1621582733813,37.01014388489211,89.17107913669064,-39.35971223021583,-13.553956834532373,-17.741007194244606,-43.12230215827338,-39.74820143884892,16.230215827338128
Bassett,211.80597014925374,23599.0,2.0,86.58671641791044,37.44238805970151,90.68276119402984,-39.19402985074627,-13.35820895522388,-16.888059701492537,-42.843283582089555,-39.38805970149254,15.970149253731343
Bell,520.2013888888889,36667.0,1.0,83.73812500000001,36.61361111111113,87.67513888888887,-39.59722222222222,-13.847222222222221,-18.53472222222222,-43.43055555555556,-39.96527777777778,16.416666666666668
Bell Gardens,575.2758620689655,44054.0,1.0,83.47786206896552,36.55724137931036,87.39048275862068,-39.62068965517241,-13.889655172413793,-18.641379310344828,-43.47586206896552,-40.02758620689655,16.46206896551724
Bellflower,706.9391891891892,72829.0,2.0,82.65344594594595,36.38074324324326,86.51648648648647,-39.74324324324324,-14.047297297297296,-18.9527027027027,-43.62837837837838,-40.12162162162162,16.54054054054054
Beverly Hills,231.9025974025974,33829.0,2.0,81.8285064935065,36.49688311688313,85.38246753246754,-39.435064935064936,-13.448051948051948,-19.253246753246753,-43.36363636363637,-39.81818181818182,16.538961038961038
Beverlywood,55.28476821192053,6080.0,2.0,82.09364238410596,36.30291390728478,85.84814569536424,-39.74834437086093,-13.867549668874172,-19.1523178807947,-43.615894039735096,-40.05298013245033,16.596026490066226
Boyle Heights,1284.857142857143,92756.0,1.0,81.8285064935065,36.49688311688313,85.38246753246754,-39.435064935064936,-13.448051948051948,-19.253246753246753,-43.36363636363637,-39.81818181818182,16.538961038961038
Brentwood,107.33986928104575,31344.0,2.0,81.88026143790849,36.40679738562093,85.52849673202614,-39.568627450980394,-13.61437908496732,-19.11764705882353,-43.45751633986928,-39.93464052287582,16.575163398692812
Burbank,485.35099337748346,100316.0,2.0,82.09364238410596,36.30291390728478,85.84814569536424,-39.74834437086093,-13.867549668874172,-19.1523178807947,-43.615894039735096,-40.05298013245033,16.596026490066226
Calabasas,96.01324503311258,23130.0,2.0,82.09364238410596,36.30291390728478,85.84814569536424,-39.74834437086093,-13.867549668874172,-19.1523178807947,-43.615894039735096,-40.05298013245033,16.596026490066226
Canoga Park,635.5202702702703,53227.0,2.0,82.65344594594595,36.38074324324326,86.51648648648647,-39.74324324324324,-14.047297297297296,-18.9527027027027,-43.62837837837838,-40.12162162162162,16.54054054054054
Canyon Country,43.04794520547945,25899.0,2.0,83.22287671232876,36.5069178082192,87.11034246575342,-39.64383561643836,-13.931506849315069,-18.746575342465754,-43.52054794520548,-40.08904109589041,16.506849315068493
Carson,570.2857142857143,89549.0,2.0,81.8285064935065,36.49688311688313,85.38246753246754,-39.435064935064936,-13.448051948051948,-19.253246753246753,-43.36363636363637,-39.81818181818182,16.538961038961038
Castaic,948.1125827814569,16843.0,2.0,82.09364238410596,36.30291390728478,85.84814569536424,-39.74834437086093,-13.867549668874172,-19.1523178807947,-43.615894039735096,-40.05298013245033,16.596026490066226
Central,727.916083916084,27849.0,1.0,83.99937062937065,36.680209790209815,87.96573426573426,-39.57342657342657,-13.804195804195805,-18.41958041958042,-43.37762237762238,-39.89510489510489,16.363636363636363
Century City,48.50993377483444,5513.0,2.0,82.09364238410596,36.30291390728478,85.84814569536424,-39.74834437086093,-13.867549668874172,-19.1523178807947,-43.615894039735096,-40.05298013245033,16.596026490066226
Cerritos,184.11409395973155,51831.0,2.0,82.41778523489933,36.321140939597335,86.28758389261743,-39.79865771812081,-14.04026845637584,-19.013422818791945,-43.644295302013425,-40.080536912751676,16.550335570469798
Chatsworth,243.38888888888889,35073.0,2.0,83.73812500000001,36.61361111111113,87.67513888888887,-39.59722222222222,-13.847222222222221,-18.53472222222222,-43.43055555555556,-39.96527777777778,16.416666666666668
Claremont,103.57342657342657,35397.0,2.0,83.99937062937065,36.680209790209815,87.96573426573426,-39.57342657342657,-13.804195804195805,-18.41958041958042,-43.37762237762238,-39.89510489510489,16.363636363636363
Cloverdale/Cochran,105.03401360544218,6817.0,1.0,82.9695918367347,36.46795918367348,86.83537414965986,-39.65986394557823,-13.965986394557824,-18.836734693877553,-43.5578231292517,-40.136054421768705,16.54421768707483
Compton,1171.3877551020407,94384.0,1.0,82.9695918367347,36.46795918367348,86.83537414965986,-39.65986394557823,-13.965986394557824,-18.836734693877553,-43.5578231292517,-40.136054421768705,16.54421768707483
Covina,373.74834437086093,50954.0,2.0,82.09364238410596,36.30291390728478,85.84814569536424,-39.74834437086093,-13.867549668874172,-19.1523178807947,-43.615894039735096,-40.05298013245033,16.596026490066226
Crestview,91.4635761589404,5284.0,2.0,82.09364238410596,36.30291390728478,85.84814569536424,-39.74834437086093,-13.867549668874172,-19.1523178807947,-43.615894039735096,-40.05298013245033,16.596026490066226
Culver City,160.96753246753246,38816.0,2.0,81.8285064935065,36.49688311688313,85.38246753246754,-39.435064935064936,-13.448051948051948,-19.253246753246753,-43.36363636363637,-39.81818181818182,16.538961038961038
