ZIP,confirmed_cases,population,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Acton,20.364341085271317,6522.0,2.0,84.65922480620154,36.683488372093024,88.52379844961241,-39.736434108527135,-13.472868217054264,-17.689922480620154,-43.07751937984496,-39.627906976744185,16.248062015503876
Agoura Hills,50.5,20324.0,2.0,81.55814285714285,35.90885714285715,85.22857142857144,-40.07857142857143,-14.042857142857143,-19.257142857142856,-43.69285714285714,-40.3,16.735714285714284
Alhambra,325.578231292517,85961.0,2.0,80.4299319727891,35.96578231292518,83.78299319727894,-39.82312925170068,-13.496598639455783,-19.6734693877551,-43.48299319727891,-39.95918367346939,16.72108843537415
Altadena,188.30555555555554,42680.0,2.0,80.74194444444443,35.817847222222234,84.30958333333335,-40.104166666666664,-13.902777777777779,-19.51388888888889,-43.6875,-40.166666666666664,16.756944444444443
Arcadia,125.1156462585034,52951.0,2.0,80.4299319727891,35.96578231292518,83.78299319727894,-39.82312925170068,-13.496598639455783,-19.6734693877551,-43.48299319727891,-39.95918367346939,16.72108843537415
Arleta,387.0507246376812,31068.0,2.0,82.07173913043478,35.99456521739132,85.78855072463769,-40.04347826086956,-13.96376811594203,-19.057971014492754,-43.608695652173914,-40.18840579710145,16.652173913043477
Avalon,4.68,3181.0,2.0,105.9674,45.9272,112.3172,-31.1,-11.04,-4.92,-39.1,-36.58,13.26
Azusa,369.95620437956205,44384.0,2.0,82.33503649635037,36.0497080291971,86.07605839416058,-40.02189781021898,-13.91970802919708,-18.94890510948905,-43.56204379562044,-40.12408759124087,16.605839416058394
Baldwin Hills,191.8972602739726,30123.0,1.0,80.47458904109587,35.86773972602741,83.9250684931507,-39.965753424657535,-13.67123287671233,-19.534246575342465,-43.582191780821915,-40.082191780821915,16.76027397260274
Baldwin Park,731.9924242424242,75753.0,2.0,83.7814393939394,36.44590909090911,87.59075757575759,-39.78787878787879,-13.613636363636363,-18.12878787878788,-43.24242424242424,-39.90151515151515,16.416666666666668
Bassett,193.1968503937008,23599.0,2.0,85.23015748031494,36.879763779527565,89.12354330708662,-39.62992125984252,-13.409448818897637,-17.244094488188978,-42.95275590551181,-39.52755905511811,16.1496062992126
Bell,477.18978102189783,36667.0,1.0,82.33503649635037,36.0497080291971,86.07605839416058,-40.02189781021898,-13.91970802919708,-18.94890510948905,-43.56204379562044,-40.12408759124087,16.605839416058394
Bell Gardens,520.268115942029,44054.0,1.0,82.07173913043478,35.99456521739132,85.78855072463769,-40.04347826086956,-13.96376811594203,-19.057971014492754,-43.608695652173914,-40.18840579710145,16.652173913043477
Bellflower,641.2978723404256,72829.0,2.0,81.23631205673759,35.82127659574469,84.90524822695036,-40.163120567375884,-14.127659574468085,-19.375886524822697,-43.765957446808514,-40.283687943262414,16.73049645390071
Beverly Hills,215.30612244897958,33829.0,2.0,80.4299319727891,35.96578231292518,83.78299319727894,-39.82312925170068,-13.496598639455783,-19.6734693877551,-43.48299319727891,-39.95918367346939,16.72108843537415
Beverlywood,51.583333333333336,6080.0,2.0,80.67881944444443,35.751319444444455,84.23798611111113,-40.15972222222222,-13.9375,-19.57638888888889,-43.75,-40.208333333333336,16.78472222222222
Boyle Heights,1165.6258503401361,92756.0,1.0,80.4299319727891,35.96578231292518,83.78299319727894,-39.82312925170068,-13.496598639455783,-19.6734693877551,-43.48299319727891,-39.95918367346939,16.72108843537415
Brentwood,101.04794520547945,31344.0,2.0,80.47458904109587,35.86773972602741,83.9250684931507,-39.965753424657535,-13.67123287671233,-19.534246575342465,-43.582191780821915,-40.082191780821915,16.76027397260274
Burbank,450.99305555555554,100316.0,2.0,80.67881944444443,35.751319444444455,84.23798611111113,-40.15972222222222,-13.9375,-19.57638888888889,-43.75,-40.208333333333336,16.78472222222222
Calabasas,89.88888888888889,23130.0,2.0,80.67881944444443,35.751319444444455,84.23798611111113,-40.15972222222222,-13.9375,-19.57638888888889,-43.75,-40.208333333333336,16.78472222222222
Canoga Park,590.5957446808511,53227.0,2.0,81.23631205673759,35.82127659574469,84.90524822695036,-40.163120567375884,-14.127659574468085,-19.375886524822697,-43.765957446808514,-40.283687943262414,16.73049645390071
Canyon Country,39.906474820143885,25899.0,2.0,81.8140287769784,35.94575539568347,85.5058273381295,-40.064748201438846,-14.007194244604317,-19.165467625899282,-43.65467625899281,-40.25179856115108,16.697841726618705
Carson,524.1292517006802,89549.0,2.0,80.4299319727891,35.96578231292518,83.78299319727894,-39.82312925170068,-13.496598639455783,-19.6734693877551,-43.48299319727891,-39.95918367346939,16.72108843537415
Castaic,902.875,16843.0,2.0,80.67881944444443,35.751319444444455,84.23798611111113,-40.15972222222222,-13.9375,-19.57638888888889,-43.75,-40.208333333333336,16.78472222222222
Central,670.0,27849.0,1.0,82.59941176470589,36.11558823529413,86.36985294117648,-40.0,-13.875,-18.830882352941178,-43.50735294117647,-40.0514705882353,16.551470588235293
Century City,45.77777777777778,5513.0,2.0,80.67881944444443,35.751319444444455,84.23798611111113,-40.15972222222222,-13.9375,-19.57638888888889,-43.75,-40.208333333333336,16.78472222222222
Cerritos,169.2394366197183,51831.0,2.0,80.99901408450704,35.762676056338044,84.67640845070423,-40.21830985915493,-14.119718309859154,-19.43661971830986,-43.78169014084507,-40.23943661971831,16.739436619718308
Chatsworth,226.54014598540147,35073.0,2.0,82.33503649635037,36.0497080291971,86.07605839416058,-40.02189781021898,-13.91970802919708,-18.94890510948905,-43.56204379562044,-40.12408759124087,16.605839416058394
Claremont,92.74264705882354,35397.0,2.0,82.59941176470589,36.11558823529413,86.36985294117648,-40.0,-13.875,-18.830882352941178,-43.50735294117647,-40.0514705882353,16.551470588235293
Cloverdale/Cochran,97.59285714285714,6817.0,1.0,81.55814285714285,35.90885714285715,85.22857142857144,-40.07857142857143,-14.042857142857143,-19.257142857142856,-43.69285714285714,-40.3,16.735714285714284
Compton,1058.4785714285715,94384.0,1.0,81.55814285714285,35.90885714285715,85.22857142857144,-40.07857142857143,-14.042857142857143,-19.257142857142856,-43.69285714285714,-40.3,16.735714285714284
